policy_renewal_number,policy_premium_band,customer_age,location_code,location_score,market_segment,policy_type,payment_frequency,customer_education_level,customer_occupation_sector,policy_category_two,policy_cover_level,customer_email_verified,payment_method,is_joint_policy,policy_excess,customer_home_ownership,customer_credit_one,customer_credit_two,customer_credit_three,customer_salary_band,customer_age_scaled,customer_gender,additional_customer_flag,policy_item_category,claim_flag
5,0,49,20,262,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,45,0,0,5,0
10,0,46,20,206,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,39,2,0,0,0
4,0,39,19,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,2,0,5,0
11,0,40,20,93,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,29,0,0,12,0
5,2,47,20,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,1,0,9,0
0,0,45,1,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,1,0,0,0
10,0,47,15,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,0,1,5,1
1,0,53,7,337,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,52,1,0,9,0
11,1,42,14,131,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,33,0,0,12,0
1,1,50,11,281,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,46,2,0,13,0
9,0,47,15,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,0,0,7,0
10,2,56,20,393,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,57,2,0,12,0
6,2,48,20,243,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,43,0,0,1,0
12,0,49,5,262,5,10,0,9,5,7,2,,1,0,1250,0,456,654,0,4,45,2,0,15,0
10,0,41,20,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,0,0,1,0
1,0,43,15,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,2,0,4,0
11,2,64,4,543,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,71,2,0,12,0
4,1,52,18,318,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,50,0,0,15,0
8,0,53,19,337,0,9,2,6,2,6,2,,0,0,350,3,174,431,431,2,52,0,0,14,0
1,1,35,21,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,9,0
1,1,35,21,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,2,0,13,0
6,0,47,20,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,2,0,5,1
10,2,53,11,337,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,52,3,0,1,0
0,0,40,3,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,3,0,4,0
6,1,35,20,0,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,21,2,0,15,0
7,0,42,8,131,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,33,2,0,0,0
11,3,43,20,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,1,0,0,0
11,2,56,20,393,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,57,2,0,15,0
11,2,43,20,150,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,34,2,0,13,0
8,0,57,21,412,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,58,0,0,6,0
11,0,61,21,487,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,65,2,0,9,0
8,0,47,11,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,0,0,5,1
5,3,35,17,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,2,0
5,0,43,15,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,0,0,8,1
11,3,39,11,75,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,27,2,0,9,0
10,2,44,20,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,1,0,6,0
9,3,50,2,281,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,46,2,0,1,0
2,0,43,15,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,2,0,3,0
5,3,48,13,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,2,0,9,0
11,2,45,20,187,2,5,0,3,4,10,6,,1,1,1200,3,710,936,1000,3,38,2,0,8,1
2,2,54,17,356,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,53,3,0,13,0
4,0,45,2,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,0,0,13,0
11,1,44,5,168,4,7,1,9,6,3,2,,1,0,700,0,332,773,424,2,36,2,0,4,0
4,0,39,20,75,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,27,0,0,3,0
10,2,37,20,37,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,24,2,0,7,0
4,1,46,15,206,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,39,2,0,4,0
2,3,37,20,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,0,0,1,0
4,2,50,15,281,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,46,0,0,3,0
5,1,44,20,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,3,0,5,0
8,1,40,20,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,2,0,7,0
3,0,39,11,75,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,27,2,0,8,1
12,3,37,20,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,2,0,0,0
0,0,45,17,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,3,0,11,0
11,0,37,20,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,2,0,12,0
9,2,56,20,393,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,57,2,0,6,0
9,1,44,17,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,1,0,14,0
11,1,43,11,150,4,7,1,9,6,3,2,,1,0,700,0,332,773,424,2,34,0,0,3,0
5,2,41,20,112,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,31,3,0,10,0
4,0,43,15,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,2,0,10,0
4,0,39,11,75,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,27,0,0,11,0
3,1,45,21,187,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,38,2,0,13,0
12,0,39,11,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,0,0,6,0
11,2,45,11,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,2,0,10,0
7,0,46,17,206,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,39,2,0,10,0
8,1,40,5,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,2,0,8,1
1,0,53,11,337,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,52,1,0,7,0
5,2,39,11,75,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,27,0,0,7,0
2,2,40,19,93,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,29,2,0,11,0
11,1,60,20,468,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,64,2,0,13,0
2,0,41,15,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,2,0,3,0
0,0,44,11,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,2,0,0,0
8,2,40,20,93,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,29,0,0,1,0
11,0,36,5,18,2,5,0,9,4,10,6,,1,1,1200,2,710,936,1000,3,22,0,0,15,0
5,1,40,11,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,2,0,3,0
0,0,45,1,187,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,38,2,0,4,0
1,0,46,7,206,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,39,0,0,10,0
0,0,56,20,393,4,7,1,1,6,3,2,,1,0,700,3,332,773,424,2,57,0,0,5,0
0,1,38,15,56,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,26,2,0,14,0
12,1,51,17,300,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,48,0,0,3,0
4,0,39,17,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,2,0,15,0
5,0,43,11,150,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,34,2,0,8,0
8,0,48,18,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,2,0,8,0
1,1,44,17,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,0,0,7,0
0,0,50,20,281,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,46,2,0,6,0
10,0,40,15,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,2,0,15,0
11,3,62,20,506,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,67,2,0,14,0
10,0,50,20,281,4,8,1,9,6,2,6,,1,0,700,0,452,802,536,0,46,2,0,0,0
11,5,48,20,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,0,0,0,0
4,2,59,20,450,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,62,0,0,1,0
11,4,40,5,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,2,0,1,0
2,1,48,11,243,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,43,2,0,11,0
10,3,45,1,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,2,0,3,0
3,2,41,4,112,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,31,0,0,5,0
7,0,53,1,337,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,52,0,0,8,0
0,0,39,11,75,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,27,2,0,9,0
10,2,37,20,37,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,24,2,0,13,0
4,1,44,20,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,2,0,4,0
2,0,54,20,356,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,53,2,0,7,0
1,2,43,17,150,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,34,2,0,0,0
8,0,59,21,450,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,62,2,0,0,0
0,2,41,1,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,2,0,4,0
1,2,38,9,56,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,26,0,0,4,0
11,2,62,20,506,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,67,3,0,7,0
1,3,46,11,206,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,39,2,0,1,0
2,0,43,15,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,3,0,4,0
0,3,40,17,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,2,0,13,0
5,2,42,20,131,5,2,1,4,7,8,2,,0,0,700,2,455,999,910,5,33,0,0,14,0
7,0,37,1,37,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,24,2,0,3,0
10,1,49,20,262,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,45,2,0,13,0
7,0,62,0,506,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,67,2,0,4,0
11,1,61,17,487,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,65,2,0,15,0
11,0,45,5,187,4,6,0,9,1,0,2,,1,0,1200,3,452,832,656,5,38,0,0,4,0
11,3,46,20,206,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,39,2,0,15,0
10,4,40,10,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,2,0,14,0
8,0,37,17,37,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,24,2,0,5,0
5,2,45,20,187,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,38,3,0,15,0
11,0,52,17,318,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,50,2,0,0,0
2,0,52,3,318,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,50,2,0,13,0
3,2,36,20,18,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,22,0,0,0,0
4,1,54,17,356,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,53,0,1,2,1
1,2,39,16,75,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,27,2,0,14,0
12,2,54,10,356,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,53,2,0,10,0
7,0,49,1,262,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,45,0,0,3,0
5,0,45,11,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,0,0,1,0
0,0,45,10,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,2,0,6,0
10,2,39,11,75,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,27,2,0,10,0
11,0,39,6,75,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,27,0,0,13,0
9,2,35,20,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,0,1,8,1
10,1,49,20,262,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,45,1,0,9,0
9,0,37,15,37,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,24,2,0,1,0
0,0,38,1,56,4,8,1,1,6,2,6,,1,0,700,3,452,802,536,0,26,2,0,14,0
4,1,45,15,187,4,7,1,1,6,3,2,,1,0,700,3,332,773,424,2,38,2,0,5,0
0,1,53,13,337,4,7,1,9,6,3,2,,1,0,700,0,332,773,424,2,52,0,0,3,0
3,0,57,20,412,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,58,2,0,12,0
8,0,53,18,337,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,52,2,0,7,0
6,1,43,1,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,2,1,5,1
7,0,54,17,356,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,53,2,0,15,0
11,0,45,11,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,3,0,15,0
12,3,48,11,243,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,43,2,0,2,1
7,0,36,20,18,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,22,0,0,9,0
0,0,50,2,281,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,46,2,0,6,0
1,3,44,5,168,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,36,3,0,0,0
0,1,44,19,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,0,0,9,0
2,0,49,0,262,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,45,0,0,14,0
0,0,50,17,281,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,46,2,0,1,0
0,0,52,7,318,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,50,0,0,11,0
3,3,47,20,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,2,0,12,0
0,1,44,19,168,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,36,0,0,10,0
10,3,52,20,318,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,50,0,0,11,0
4,2,37,11,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,2,0,8,0
8,0,47,5,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,3,0,8,0
8,2,46,20,206,2,5,0,9,4,10,6,,1,1,1200,2,710,936,1000,3,39,2,0,15,0
10,1,49,20,262,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,45,0,0,2,1
4,2,42,21,131,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,33,0,0,11,0
11,2,41,3,112,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,31,0,0,7,0
10,1,40,5,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,2,0,15,0
7,2,47,20,225,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,41,1,0,4,0
11,2,53,13,337,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,52,0,0,9,0
1,0,43,1,150,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,34,3,0,1,0
10,0,50,20,281,1,0,2,9,8,9,2,,0,0,0,2,0,118,200,0,46,0,0,14,0
0,0,50,15,281,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,46,2,0,2,0
0,0,44,17,168,1,0,2,9,8,9,2,,0,0,0,3,0,118,200,0,36,0,0,11,0
0,0,51,20,300,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,48,0,0,2,0
2,2,50,7,281,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,46,1,0,13,0
0,0,40,17,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,2,0,0,0
5,2,45,15,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,2,0,15,0
11,2,47,1,225,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,41,2,0,13,0
10,1,50,6,281,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,46,2,0,8,1
10,0,37,11,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,1,0,0,0
10,2,38,20,56,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,26,2,0,8,0
0,1,38,17,56,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,26,0,0,4,0
5,2,53,20,337,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,52,0,0,10,0
0,0,35,20,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,0,0,3,0
0,1,43,15,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,0,0,12,0
10,1,35,20,0,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,21,0,0,2,0
0,3,40,20,93,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,29,0,0,12,0
3,2,47,15,225,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,41,2,0,12,0
10,0,53,11,337,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,52,2,0,1,0
11,1,47,20,225,4,8,1,1,6,2,6,,1,0,700,3,452,802,536,0,41,0,0,4,0
0,0,39,11,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,0,0,8,0
9,2,40,17,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,2,0,1,0
10,2,41,6,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,2,0,12,0
3,1,35,21,0,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,21,2,0,2,0
5,0,39,17,75,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,27,0,0,6,0
8,3,38,20,56,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,26,3,0,11,0
11,3,61,21,487,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,65,0,0,13,0
5,1,43,20,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,0,0,12,0
12,2,48,5,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,0,0,5,0
6,0,39,15,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,1,0,0,0
12,0,58,21,431,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,60,0,0,14,0
10,0,54,11,356,2,5,0,9,4,10,6,,1,1,1200,2,710,936,1000,3,53,2,0,1,0
11,0,50,20,281,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,46,1,0,10,0
12,1,36,11,18,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,22,2,0,14,0
3,1,45,20,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,0,0,2,0
4,2,40,20,93,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,29,2,0,1,0
10,1,35,20,0,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,21,0,0,15,0
7,0,44,11,168,2,5,0,9,4,10,6,,1,1,1200,2,710,936,1000,3,36,0,0,10,0
5,0,40,2,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,2,0,6,0
11,2,45,20,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,0,0,4,0
5,0,39,15,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,2,0,7,0
10,3,35,20,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,15,0
0,0,48,20,243,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,43,2,0,11,0
0,0,35,3,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,9,0
7,1,53,11,337,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,52,2,0,14,0
0,2,47,17,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,2,0,8,0
1,1,35,15,0,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,21,2,0,13,0
2,0,36,17,18,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,22,2,0,6,0
8,2,51,20,300,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,48,1,0,2,0
5,1,35,18,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,3,0,3,0
3,2,52,4,318,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,50,2,0,1,0
0,0,39,15,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,0,0,6,0
9,1,36,16,18,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,22,0,0,0,0
8,2,44,4,168,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,36,1,0,3,0
11,2,48,20,243,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,43,2,0,15,0
5,0,50,15,281,1,0,2,9,8,9,2,,0,0,0,2,0,118,200,0,46,0,0,1,0
3,0,41,20,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,0,0,3,0
12,4,54,17,356,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,53,0,0,11,0
2,0,53,5,337,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,52,2,0,10,0
10,3,39,4,75,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,27,0,0,4,0
8,0,43,15,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,1,0,3,0
4,0,38,15,56,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,26,2,0,1,0
4,0,42,5,131,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,33,0,0,10,0
4,1,52,17,318,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,50,2,0,6,0
4,2,35,4,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,2,0,2,0
1,0,41,4,112,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,31,0,0,6,0
11,0,35,11,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,0,0,6,0
12,2,57,11,412,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,58,0,0,11,0
1,2,38,8,56,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,26,2,0,2,0
8,0,57,17,412,1,0,2,0,8,9,2,,0,0,0,3,0,118,200,0,58,3,0,15,0
3,1,48,20,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,0,0,9,0
8,0,50,15,281,1,0,2,9,8,9,2,,0,0,0,2,0,118,200,0,46,2,0,8,0
11,2,41,20,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,2,0,3,0
4,3,47,20,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,0,0,3,0
0,2,39,19,75,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,27,3,0,5,0
11,1,41,17,112,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,31,0,0,6,0
2,0,38,1,56,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,26,2,0,6,0
1,0,48,8,243,1,0,2,0,8,9,2,,0,0,0,3,0,118,200,0,43,2,0,9,0
4,0,53,11,337,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,52,0,0,1,0
5,0,48,11,243,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,43,2,1,2,1
2,3,44,1,168,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,36,2,0,4,0
9,0,48,17,243,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,43,2,0,11,0
0,0,41,0,112,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,31,2,0,4,0
5,3,35,4,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,2,0,4,0
0,0,46,20,206,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,39,1,0,1,0
6,3,49,15,262,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,45,0,0,7,0
2,3,37,11,37,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,24,0,0,12,0
2,0,47,19,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,2,0,12,0
1,5,42,11,131,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,33,2,0,3,0
6,1,45,3,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,3,0,7,0
5,0,35,4,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,2,0,4,0
0,5,44,1,168,4,7,1,1,6,3,2,,1,0,700,3,332,773,424,2,36,2,0,7,0
5,0,52,8,318,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,50,2,0,12,0
8,0,40,20,93,2,5,0,3,4,10,6,,1,1,1200,3,710,936,1000,3,29,1,0,11,0
6,1,35,19,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,0,0
10,1,37,19,37,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,24,1,0,10,0
12,1,58,20,431,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,60,0,0,5,1
5,2,44,21,168,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,36,0,0,7,0
6,0,44,15,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,1,0,2,1
3,0,43,17,150,1,0,2,0,8,9,2,,0,0,0,3,0,118,200,0,34,2,0,5,0
11,1,44,4,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,0,0,2,0
0,1,45,17,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,2,0,10,0
11,0,54,20,356,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,53,1,0,12,0
1,0,39,0,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,0,0,11,0
0,1,43,6,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,2,0,11,0
10,1,46,21,206,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,39,2,0,10,0
5,0,47,15,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,2,0,13,0
2,2,36,21,18,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,22,0,0,8,0
4,0,35,19,0,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,21,3,0,3,0
